country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"Taiwan, Province of China",28.1,34.9,47.6,51.94,53.81,58.01,63.68,64.45,65.84,69.9,71.5,72,75.99,76.29,78.04,78.04,79.75,92.78
Tajikistan,0.05,0.05,0.06,0.06,0.08,0.3,3.77,7.2,8.78,10.07,11.55,13.03,14.51,16,17.49,18.98,20.47,21.96
Tanzania,0.12,0.17,0.22,0.68,0.88,1.1,1.3,1.6,1.9,2.4,2.9,3.2,3.95,4.4,7,10,13,16
Thailand,3.69,5.56,7.53,9.3,10.68,15.03,17.16,20.03,18.2,20.1,22.4,23.67,26.46,28.94,34.89,39.32,47.5,52.89
The Former Yugoslav Rep. of Macedonia,2.49,3.47,17.33,19.07,24.44,26.45,28.62,36.3,46.04,51.77,51.9,56.7,57.45,65.24,68.06,70.38,72.16,76.31
Timor-Leste,,,0,,,0.1,0.5,1,1.5,2,3,4,7,11,17.5,23,25.25,27.49
Togo,0.8,0.9,1,1.2,1.5,1.8,2,2.2,2.4,2.6,3,3.5,4,4.5,5.7,7.12,11.31,12.36
Tokelau,,,,1.5,,,,,,,,,,,,,,
Tonga,2.43,2.83,2.91,2.99,3.95,4.91,5.85,7.18,8.11,10,16,25,30,32.75,35.95,38.65,39.95,41.25
Trinidad and Tobago,7.72,15.38,22,25.97,27.02,28.98,30,32.3,34.8,44.3,48.5,55.2,59.52,63.8,65.1,69.2,73.3,77.33
Tunisia,2.75,4.3,5.25,6.49,8.53,9.66,12.99,17.1,27.53,34.07,36.8,39.1,41.44,43.8,46.16,46.5,49.6,55.5
Turkey,3.76,5.19,11.38,12.33,14.58,15.46,18.24,28.63,34.37,36.4,39.82,43.07,45.13,46.25,51.04,53.74,58.35,64.68
Turkmenistan,0.13,0.18,0.3,0.43,0.75,1,1.32,1.41,1.75,1.95,3,5,7.2,9.6,12.2,15,17.99,21.25
Turks & Caicos Is.,,,,,,,,,,,,,,,,,,
Tuvalu,5.24,,,,,,,10,15,20,25,30,35,37,39.2,42.7,46.01,49.32
Uganda,0.16,0.24,0.38,0.46,0.72,1.74,2.53,3.67,7.9,9.78,12.5,13.01,14.1,15.5,16.9,17.83,21.88,23.71
Ukraine,0.72,1.24,1.87,3.15,3.49,3.75,4.51,6.55,11,17.9,23.3,28.71,35.27,40.95,46.24,48.88,53,57.12
United Arab Emirates,23.63,26.27,28.32,29.48,30.13,40,52,61,63,64,68,78,85,88,90.4,90.5,90.6,94.82
United Kingdom,26.82,33.48,56.48,64.82,65.61,70,68.82,75.09,78.39,83.56,85,85.38,87.48,89.84,91.61,92,94.62,94.62
United States,43.08,49.08,58.79,61.7,64.76,67.97,68.93,75,74,71,71.69,69.73,74.7,71.4,73,74.55,75.23,75.23
Uruguay,10.54,11.12,11.42,15.94,17.06,20.09,29.4,34,39.3,41.8,46.4,51.4,54.45,57.69,61.46,64.6,66.4,68.28
Uzbekistan,0.48,0.6,1.08,1.91,2.59,3.34,6.39,7.49,9.08,11.9,15.9,18.6,23.6,26.8,35.5,42.8,46.79,52.31
Vanuatu,2.11,2.83,3.51,3.9,4.75,5.08,5.85,6.8,7.27,7.5,8,9.2,10.6,11.3,18.8,22.35,24,25.72
Vatican,,,,,,,,,,,,,,,,,,
Venezuela,3.36,4.64,4.91,7.5,8.4,12.55,15.22,20.83,25.88,32.7,37.37,40.22,49.05,54.9,57,60,60,64.31
Viet Nam,0.25,1.27,1.85,3.78,7.64,12.74,17.25,20.76,23.92,26.55,30.65,35.07,36.8,38.5,41,43.5,46.5,49.57
Virgin Islands (US),13.82,18.38,27.49,27.43,27.38,27.34,27.33,27.34,27.36,27.4,31.22,35.6,40.55,45.3,50.07,54.84,59.61,64.38
Wallis and Futuna,4.77,5.09,5.42,5.74,6.06,6.7,7.33,7.95,8.22,6.76,8.16,8.68,8.95,,,,,
Yemen,0.08,0.09,0.52,0.6,0.88,1.05,1.25,5.01,6.89,9.96,12.35,14.91,17.45,20,22.55,24.09,24.58,26.72
Zambia,0.19,0.23,0.48,0.98,2.01,2.85,4.16,4.87,5.55,6.31,10,11.5,13.47,15.4,19,21,25.51,27.85
Zimbabwe,0.4,0.8,1.1,1.8,2.1,2.4,2.4,3,3.5,4,6.4,8.4,12,15.5,16.36,22.74,23.12,27.06
